Title,Artist,Genres,Tags,Url
Under The Palm Trees,Scarlet Pleasure,,Wedding,
Unfailing Love,Jimmy Needham,,Wedding,
Up Down (Do This All Day) (feat. B.o.B.),T-Pain,Hip-Hop/Rap,Wedding,
Upside Down,Diana Ross,Other,Wedding,
Uptown Funk,Mark Ronson and Bruno Mars,,Wedding,https://www.youtube.com/watch?v=OPf0YbXqDm0
Uptown Girl,Billy Joel,,Wedding,https://www.youtube.com/watch?v=hCuMWrfXG4E
Us,Regina Spektor,,Wedding,
Volare,Dean Martin,,Wedding,https://www.youtube.com/watch?v=ejzDJkUXgdw
Voulez Vous Coucher Avec Moi (Lady Marmelade),Patti Labelle,Other,Wedding,
Wagon Wheel,Darius Rucker,,Wedding,https://www.youtube.com/watch?v=hvKyBcCDOB4
Wait On The Lord,Donnie McClurkin ft. Karen Clark Sheard,,Wedding,
Walking After You,Foo Fighters,,Wedding,
Wanna be startin' somethin',Michael jackson,Pop,Wedding,
Wannabe,Spice Girls,,Wedding,
Want To Want Me,Jason Derulo,,Wedding,
Waste,Phish,,Wedding,
Watch Me (Whip/Nae Nae),Silentó,,Wedding,
We Are Family,Sister Sledge,R&B,Wedding,
We End Up Together,The New Pornographers,,Wedding,
We Found Love,Rihanna ft. Calvin Harris,,Wedding,
We Say Yes,Marty Haugen,,Wedding,
We Will Dance,Steven Curtis Chapman,,Wedding,
We've Only Just Begun,The Carpenters,,Wedding,
Wedding Day,Casting Crowns,,Wedding,
What a Girl Wants,Christina Aguilera,,Wedding,https://www.youtube.com/watch?v=hpspGHeLOPE
What a Wonderful World,Louie Armstrong,,Wedding,
What Do You Mean?,Justin Bieber,Pop,Wedding,
What Is Love (1993),Haddaway,Electronica,Wedding,
Whatcha Say,Jason Derulo,R&B,Wedding,
Whatta Man,Salt-N-Pepa & En Vouge,Top 40,Wedding,
When God Made You,Newsong ft. Natalie Grant,,Wedding,
When I Fall in Love,Nat King Cole,,Wedding,
When I Say I Do,Matthew West,,Wedding,
When this Day is Done,Liam Lawton,,Wedding,
When You Say Nothing At All,Alison Krauss,,Wedding,https://www.youtube.com/watch?v=1SCOimBo5tg
Wherever You Go,David Haas,,Wedding,
Who Would Have Thought,Dylan Dunlap,,Wedding,
Wiggle [Feat. Snoop Dogg],Jason Derulo [Feat. Snoop Dogg],Trap/Hip Hop Pop,Wedding,
Wobble,V.I.C.,,Wedding,
Wonderful Tonight,Eric Clapton,,Wedding,
Work Song,Hozier,,Wedding,
Wouldn't it Be Nice,The Beach Boys,,Wedding,
XO,John Mayer,,Wedding,
Yeah,Usher,,Wedding,https://www.youtube.com/watch?v=GxBSyx85Kp8
Years (Acoustic),Matthew Koma,,Wedding,
YMCA,Village People,,Wedding,https://www.youtube.com/watch?v=PUoO4T_23pA
You & I (Nobody in the World),John Legend,,Wedding,
You and Me,the Wannadies,,Wedding,
You Are,Lionel Richie,,Wedding,
You Are My Sunshine,Jasmine Thompson,,Wedding,
You Are So Beautiful,Joe Cocker,,Wedding,
You Are the Best Thing,Ray LaMontagne,,Wedding,
You Are The Sunshine of My Life,Stevie Wonder,,Wedding,
You Make Me Feel Like a Natural Woman,Aretha Franklin,,Wedding,https://www.youtube.com/watch?v=dEWuAcMWDLY
You Raise Me Up,Josh Groban,,Wedding,
You Really Got Me,The Kinks,,Wedding,https://www.youtube.com/watch?v=fTTsY-oz6Go
You Rock My World,Michael Jackson,Pop,Wedding,
You Shook Me All Night Long,AC/DC,,Wedding,
You to Me Are Everything,Chris Amoo & Sunzet,Rock,Wedding,
You're Still the One,Shania Twain,,Wedding,https://www.youtube.com/watch?v=KNZH-emehxA
You've Got a Friend in Me,Randy Newman,,Wedding,
Your Song,Elton John,,Wedding,
Yours,Russell Dickerson,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
,,,Wedding,
